class,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
1,... <    0 DM,24,existing credits paid back duly till now,car (used),2924,A61,1  <= ... < 4 years,3,male   : single,guarantor,4,unknown / no property,63,bank,own,1,skilled employee / official,2,"yes, registered under the customers name",yes
2,... <    0 DM,24,delay in paying off in the past,radio/television,1659,A61,... < 1 year,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes
1,no checking account,48,delay in paying off in the past,radio/television,7238,A65,.. >= 7 years,3,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",32,bank,own,2,skilled employee / official,2,none,yes
1,no checking account,33,delay in paying off in the past,business,2764,A61,1  <= ... < 4 years,2,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,24,delay in paying off in the past,car (used),4679,A61,4  <= ... < 7 years,3,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,24,existing credits paid back duly till now,radio/television,3092,A62,... < 1 year,3,male   : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,6,existing credits paid back duly till now,education,448,A61,... < 1 year,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,9,existing credits paid back duly till now,car (new),654,A61,1  <= ... < 4 years,4,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,unskilled - resident,1,none,yes
1,no checking account,6,existing credits paid back duly till now,retraining,1238,A65,unemployed,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,36,none,own,1,management/ self-employed/,2,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,18,critical account/  other credits existing (not at this bank),radio/television,1245,A61,1  <= ... < 4 years,4,male   : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3114,A61,... < 1 year,1,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,none,yes
1,no checking account,39,existing credits paid back duly till now,car (used),2569,A63,1  <= ... < 4 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,5152,A61,4  <= ... < 7 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,12,existing credits paid back duly till now,business,1037,A62,4  <= ... < 7 years,3,male   : single,none,4,real estate,39,none,own,1,unskilled - resident,1,none,yes
1,... <    0 DM,15,critical account/  other credits existing (not at this bank),furniture/equipment,1478,A61,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",44,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,12,critical account/  other credits existing (not at this bank),radio/television,3573,A61,1  <= ... < 4 years,1,female : divorced/separated/married,none,1,real estate,23,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,24,existing credits paid back duly till now,car (new),1201,A61,... < 1 year,4,male   : single,none,1,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,30,existing credits paid back duly till now,furniture/equipment,3622,A64,.. >= 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,57,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,15,delay in paying off in the past,furniture/equipment,960,A64,4  <= ... < 7 years,3,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes
1,no checking account,12,critical account/  other credits existing (not at this bank),car (new),1163,A63,1  <= ... < 4 years,4,male   : single,none,4,real estate,44,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,6,delay in paying off in the past,car (new),1209,A61,unemployed,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,47,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,radio/television,3077,A61,1  <= ... < 4 years,2,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",52,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,car (new),3757,A61,.. >= 7 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,62,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,10,existing credits paid back duly till now,car (new),1418,A62,1  <= ... < 4 years,3,male   : single,none,2,real estate,35,none,rent,1,unskilled - resident,1,none,no
1,no checking account,6,existing credits paid back duly till now,car (new),3518,A61,1  <= ... < 4 years,2,male   : single,guarantor,3,if not A121 : building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,none,yes
1,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,1934,A61,.. >= 7 years,2,male   : single,none,2,unknown / no property,26,none,own,2,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,27,no credits taken/ all credits paid back duly,business,8318,A61,.. >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,42,none,for free,2,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,6,critical account/  other credits existing (not at this bank),radio/television,1237,A62,1  <= ... < 4 years,1,female : divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,6,existing credits paid back duly till now,radio/television,368,A65,.. >= 7 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,12,critical account/  other credits existing (not at this bank),car (new),2122,A61,1  <= ... < 4 years,3,male   : single,none,2,real estate,39,none,rent,2,unskilled - resident,2,none,no
2,... <    0 DM,24,existing credits paid back duly till now,furniture/equipment,2996,A65,1  <= ... < 4 years,2,male   : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,own,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,36,existing credits paid back duly till now,furniture/equipment,9034,A62,... < 1 year,4,male   : single,co-applicant,1,unknown / no property,29,none,rent,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,24,critical account/  other credits existing (not at this bank),furniture/equipment,1585,A61,4  <= ... < 7 years,4,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,40,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,18,existing credits paid back duly till now,radio/television,1301,A61,.. >= 7 years,4,male   : married/widowed,guarantor,2,real estate,32,none,own,1,unskilled - resident,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,6,critical account/  other credits existing (not at this bank),car (new),1323,A62,.. >= 7 years,2,male   : divorced/separated,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
2,... <    0 DM,24,existing credits paid back duly till now,car (new),3123,A61,... < 1 year,4,female : divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,36,existing credits paid back duly till now,car (used),5493,A61,.. >= 7 years,2,male   : single,none,4,unknown / no property,42,none,for free,1,skilled employee / official,2,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,1126,A62,.. >= 7 years,2,male   : divorced/separated,none,4,real estate,49,none,own,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,24,critical account/  other credits existing (not at this bank),radio/television,1216,A62,... < 1 year,4,male   : single,none,4,unknown / no property,38,bank,own,2,skilled employee / official,2,none,yes
2,... <    0 DM,24,existing credits paid back duly till now,car (new),1207,A61,... < 1 year,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes
2,no checking account,10,existing credits paid back duly till now,car (new),1309,A65,1  <= ... < 4 years,4,male   : single,guarantor,4,if not A121 : building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,15,critical account/  other credits existing (not at this bank),car (used),2360,A63,1  <= ... < 4 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,15,all credits at this bank paid back duly,car (new),6850,A62,unemployed,1,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/,2,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,radio/television,1413,A61,1  <= ... < 4 years,4,male   : married/widowed,none,2,if not A121 : building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes
1,no checking account,39,existing credits paid back duly till now,car (used),8588,A62,.. >= 7 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",45,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,... <    0 DM,12,existing credits paid back duly till now,car (new),759,A61,4  <= ... < 7 years,4,male   : single,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes
1,no checking account,36,existing credits paid back duly till now,car (used),4686,A61,1  <= ... < 4 years,2,male   : single,none,2,unknown / no property,32,none,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,business,2687,A61,4  <= ... < 7 years,2,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,12,delay in paying off in the past,radio/television,585,A61,1  <= ... < 4 years,4,male   : married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee / official,1,none,yes
1,no checking account,24,existing credits paid back duly till now,car (new),2255,A65,... < 1 year,4,male   : single,none,1,if not A121 : building society savings agreement/ life insurance,54,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,6,critical account/  other credits existing (not at this bank),car (new),609,A61,4  <= ... < 7 years,4,female : divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,none,no
1,... <    0 DM,6,critical account/  other credits existing (not at this bank),car (new),1361,A61,... < 1 year,2,male   : single,none,4,real estate,40,none,own,1,unskilled - resident,2,none,no
2,no checking account,36,critical account/  other credits existing (not at this bank),furniture/equipment,7127,A61,... < 1 year,2,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,6,existing credits paid back duly till now,car (new),1203,A62,.. >= 7 years,3,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,6,critical account/  other credits existing (not at this bank),radio/television,700,A65,.. >= 7 years,4,male   : single,none,4,unknown / no property,36,none,for free,2,skilled employee / official,1,none,yes
1,no checking account,24,critical account/  other credits existing (not at this bank),repairs,5507,A61,.. >= 7 years,3,male   : single,none,4,unknown / no property,44,none,for free,2,skilled employee / official,1,none,yes
2,... <    0 DM,18,existing credits paid back duly till now,radio/television,3190,A61,1  <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,A61,1  <= ... < 4 years,3,male   : single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes
1,no checking account,24,existing credits paid back duly till now,car (used),3488,A62,4  <= ... < 7 years,3,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,18,existing credits paid back duly till now,radio/television,1113,A61,1  <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,none,yes
1,0 <= ... <  200 DM,26,existing credits paid back duly till now,car (used),7966,A61,... < 1 year,2,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,none,yes
1,no checking account,15,critical account/  other credits existing (not at this bank),education,1532,A62,1  <= ... < 4 years,4,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes
1,no checking account,4,critical account/  other credits existing (not at this bank),radio/television,1503,A61,4  <= ... < 7 years,2,male   : single,none,1,real estate,42,none,own,2,unskilled - resident,2,none,yes
2,... <    0 DM,36,existing credits paid back duly till now,radio/television,2302,A61,1  <= ... < 4 years,4,male   : divorced/separated,none,4,"if not A121/A122 : car or other, not in attribute 6",31,none,rent,1,skilled employee / official,1,none,yes
1,... <    0 DM,6,existing credits paid back duly till now,car (new),662,A61,... < 1 year,3,male   : single,none,4,real estate,41,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,36,existing credits paid back duly till now,education,2273,A61,4  <= ... < 7 years,3,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,2,none,yes
2,0 <= ... <  200 DM,15,existing credits paid back duly till now,car (new),2631,A62,1  <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,12,delay in paying off in the past,car (used),1503,A61,1  <= ... < 4 years,4,male   : married/widowed,none,4,real estate,41,none,rent,1,skilled employee / official,1,none,yes
1,no checking account,24,existing credits paid back duly till now,radio/television,1311,A62,4  <= ... < 7 years,4,male   : married/widowed,none,3,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,radio/television,3105,A65,... < 1 year,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes
2,... >= 200 DM / salary assignments for at least 1 year,21,critical account/  other credits existing (not at this bank),education,2319,A61,... < 1 year,2,male   : divorced/separated,none,1,"if not A121/A122 : car or other, not in attribute 6",33,none,rent,1,skilled employee / official,1,none,yes
1,... <    0 DM,6,existing credits paid back duly till now,car (new),1374,A65,unemployed,4,female : divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,75,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,18,critical account/  other credits existing (not at this bank),furniture/equipment,3612,A61,.. >= 7 years,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,48,existing credits paid back duly till now,car (new),7763,A61,.. >= 7 years,4,male   : single,none,4,unknown / no property,42,bank,for free,1,management/ self-employed/,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,3049,A61,... < 1 year,1,female : divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,45,stores,own,1,unskilled - resident,1,none,yes
2,0 <= ... <  200 DM,12,existing credits paid back duly till now,radio/television,1534,A61,... < 1 year,1,male   : married/widowed,none,1,real estate,23,none,rent,1,skilled employee / official,1,none,yes
1,no checking account,24,delay in paying off in the past,car (new),2032,A61,.. >= 7 years,4,male   : single,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,A65,.. >= 7 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,none,yes
2,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2864,A61,1  <= ... < 4 years,2,male   : single,none,1,real estate,34,none,own,1,unskilled - resident,2,none,yes
1,no checking account,12,critical account/  other credits existing (not at this bank),car (new),1255,A61,.. >= 7 years,4,male   : single,none,4,real estate,61,none,own,2,unskilled - resident,1,none,yes
2,... <    0 DM,24,delay in paying off in the past,car (new),1333,A61,unemployed,4,male   : single,none,2,real estate,43,none,for free,2,skilled employee / official,2,none,yes
1,no checking account,24,critical account/  other credits existing (not at this bank),car (new),2022,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,radio/television,1552,A61,4  <= ... < 7 years,3,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",32,bank,own,1,skilled employee / official,2,none,yes
2,... <    0 DM,12,all credits at this bank paid back duly,radio/television,626,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,none,yes
1,no checking account,48,critical account/  other credits existing (not at this bank),car (used),8858,A65,4  <= ... < 7 years,2,male   : single,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,12,critical account/  other credits existing (not at this bank),repairs,996,A65,4  <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee / official,1,none,yes
1,no checking account,6,all credits at this bank paid back duly,radio/television,1750,A63,.. >= 7 years,2,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,45,bank,own,1,unskilled - resident,2,none,yes
2,... <    0 DM,48,existing credits paid back duly till now,radio/television,6999,A61,4  <= ... < 7 years,1,male   : married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,12,critical account/  other credits existing (not at this bank),car (new),1995,A62,... < 1 year,4,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,9,existing credits paid back duly till now,education,1199,A61,4  <= ... < 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,67,none,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,12,existing credits paid back duly till now,radio/television,1331,A61,... < 1 year,2,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",22,stores,own,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,A62,... < 1 year,3,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes
2,no checking account,21,no credits taken/ all credits paid back duly,car (new),5003,A65,1  <= ... < 4 years,1,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,29,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,A61,4  <= ... < 7 years,3,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,18,critical account/  other credits existing (not at this bank),furniture/equipment,1928,A61,... < 1 year,2,male   : single,none,2,real estate,31,none,own,2,unskilled - resident,1,none,yes
1,... <    0 DM,24,existing credits paid back duly till now,car (used),2964,A65,.. >= 7 years,4,male   : single,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes
2,... <    0 DM,24,all credits at this bank paid back duly,radio/television,1546,A61,4  <= ... < 7 years,4,male   : single,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",24,bank,rent,1,unskilled - resident,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,6,delay in paying off in the past,radio/television,683,A61,... < 1 year,2,female : divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,29,bank,own,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,36,existing credits paid back duly till now,car (new),12389,A65,1  <= ... < 4 years,1,male   : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,24,delay in paying off in the past,business,4712,A65,1  <= ... < 4 years,4,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,37,bank,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,24,delay in paying off in the past,radio/television,1553,A62,4  <= ... < 7 years,3,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,12,existing credits paid back duly till now,car (new),1372,A61,4  <= ... < 7 years,2,male   : divorced/separated,none,3,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,none,yes
1,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2578,A64,.. >= 7 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,48,existing credits paid back duly till now,radio/television,3979,A65,4  <= ... < 7 years,4,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",41,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
2,... <    0 DM,48,existing credits paid back duly till now,radio/television,6758,A61,1  <= ... < 4 years,3,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,A61,... < 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes
1,no checking account,30,critical account/  other credits existing (not at this bank),radio/television,5954,A61,4  <= ... < 7 years,3,male   : single,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",38,none,own,1,skilled employee / official,1,none,yes
1,no checking account,24,existing credits paid back duly till now,car (used),5433,A65,unemployed,2,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,26,none,rent,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... <    0 DM,15,existing credits paid back duly till now,business,806,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,9,existing credits paid back duly till now,radio/television,1082,A61,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes
1,no checking account,15,critical account/  other credits existing (not at this bank),furniture/equipment,2788,A61,4  <= ... < 7 years,2,female : divorced/separated/married,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",24,bank,own,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,12,existing credits paid back duly till now,radio/television,2930,A61,4  <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee / official,1,none,yes
1,no checking account,24,critical account/  other credits existing (not at this bank),education,1927,A65,1  <= ... < 4 years,3,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,36,critical account/  other credits existing (not at this bank),car (new),2820,A61,... < 1 year,4,male   : divorced/separated,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes
1,no checking account,24,existing credits paid back duly till now,retraining,937,A61,... < 1 year,4,male   : married/widowed,none,3,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes
2,0 <= ... <  200 DM,18,critical account/  other credits existing (not at this bank),car (new),1056,A61,.. >= 7 years,3,male   : single,guarantor,3,real estate,30,bank,own,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,12,critical account/  other credits existing (not at this bank),car (new),3124,A61,... < 1 year,1,male   : single,none,3,real estate,49,bank,own,2,unskilled - resident,2,none,yes
1,no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,36,existing credits paid back duly till now,repairs,2384,A61,... < 1 year,4,male   : single,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,none,yes
1,no checking account,12,existing credits paid back duly till now,car (new),2133,A65,.. >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,52,none,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,... <    0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,A61,1  <= ... < 4 years,1,female : divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee / official,1,none,yes
1,... <    0 DM,9,critical account/  other credits existing (not at this bank),car (new),2799,A61,1  <= ... < 4 years,2,male   : single,none,2,real estate,36,none,rent,2,skilled employee / official,2,none,yes
1,... <    0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,A61,1  <= ... < 4 years,4,male   : single,guarantor,1,if not A121 : building society savings agreement/ life insurance,21,none,own,1,unskilled - resident,1,none,yes
2,... <    0 DM,18,existing credits paid back duly till now,domestic appliances,1217,A61,1  <= ... < 4 years,4,male   : married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
2,... <    0 DM,12,critical account/  other credits existing (not at this bank),furniture/equipment,2246,A61,.. >= 7 years,3,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,60,none,own,2,skilled employee / official,1,none,yes
1,... <    0 DM,12,critical account/  other credits existing (not at this bank),radio/television,385,A61,4  <= ... < 7 years,4,female : divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,24,delay in paying off in the past,car (new),1965,A65,1  <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",42,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,21,existing credits paid back duly till now,business,1572,A64,.. >= 7 years,4,female : divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1,none,yes
2,0 <= ... <  200 DM,24,existing credits paid back duly till now,car (new),2718,A61,1  <= ... < 4 years,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,20,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes
2,... <    0 DM,24,all credits at this bank paid back duly,others,1358,A65,.. >= 7 years,4,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",40,stores,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,6,all credits at this bank paid back duly,car (new),931,A62,... < 1 year,1,female : divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,32,stores,own,1,unskilled - resident,1,none,yes
2,... <    0 DM,24,existing credits paid back duly till now,car (new),1442,A61,4  <= ... < 7 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,rent,2,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,24,no credits taken/ all credits paid back duly,business,4241,A61,1  <= ... < 4 years,1,male   : single,none,4,real estate,36,none,own,3,unskilled - resident,1,"yes, registered under the customers name",yes
2,no checking account,18,critical account/  other credits existing (not at this bank),car (new),2775,A61,4  <= ... < 7 years,2,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,31,bank,own,2,skilled employee / official,1,none,yes
